REGC2018_V1_00,REGC2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
1,Northland Region,12500.56115,30084.25666
2,Auckland Region,4941.572557,16156.61006
3,Waikato Region,23900.03638,34888.47037
4,Bay of Plenty Region,12071.14469,21883.22426
5,Gisborne Region,8385.826619,13989.55766
6,Hawke's Bay Region,14137.52444,21444.17165
7,Taranaki Region,7254.480433,12696.95759
8,Manawatu-Wanganui Region,22220.60839,25322.16177
9,Wellington Region,8048.552772,15945.30924
12,West Coast Region,23245.45588,36339.58511
13,Canterbury Region,44504.49909,56773.86938
14,Otago Region,31186.30919,38514.28068
15,Southland Region,31196.06036,55238.07588
16,Tasman Region,9615.976035,14800.2537
17,Nelson Region,422.195242,1234.786256
18,Marlborough Region,10457.74549,17688.85728
99,Area Outside Region,798.9136536,15759.50011
